death,de*th,,,,,,,
die,d*e,,,,,,,
dying,d*ing,,,,,,,
died,d*ed,,,,,,,
killer,k*ller,,,,,,,
kill  ,k*ll  ,,,,,,,
killing,k*lling,,,,,,,
killed,k*lled,,,,,,,
blood,blo*d,,,,,,,
bleed,ble*d,,,,,,,
bleeding,ble*ding,,,,,,,
bled,bl*d,,,,,,,
murderer,m*rderer,,,,,,,
murder  ,m*rder  ,,,,,,,
murdering,m*rdering,,,,,,,
murdered,m*rdered,,,,,,,
suicide,su*cide,,,,,,,
abuse,ab*se,,,,,,,
abuser,ab*ser,,,,,,,
abusing,ab*sing,,,,,,,
abused,ab*sed,,,,,,,
rape,r*pe,,,,,,,
rapist,r*pist,,,,,,,
raping,r*ping,,,,,,,
raped,r*ped,,,,,,,
assault,assa*lt,,,,,,,
assaulting,assa*lting,,,,,,,
assaulted,assa*lted,,,,,,,
violent,vi*lent,,,,,,,
violence,vi*lence,,,,,,,
sex,s*x,,,,,,,
addict,addict,,,,,,,
addicted,addicted,,,,,,,
addiction,addiction,,,,,,,
drug  ,drug  ,,,,,,,
drugs,drugs,,,,,,,
alcohol,alcohol,,,,,,,
depression,depression,,,,,,,
depressing,depressing,,,,,,,
depressed,depressed,,,,,,,
traumatic,traumatic,,,,,,,
trauma  ,trauma  ,,,,,,,
traumatized,traumatized,,,,,,,
traumatizing,traumatizing,,,,,,,
